Rrs[¦È_0,0,0](555)  Rrs[¦È_0,0,0](659)  Rrs[¦È_0,0,0](865)  Rrs[¦È_0,0,0](1375)  Rrs[¦È_0,0,0](1610)  Rrs[¦È_0,0,0](2250)  Rrs[¦È_0,¦È,¦¤¦Õ](555)  Rrs[¦È_0,¦È,¦¤¦Õ](659)  Rrs[¦È_0,¦È,¦¤¦Õ](865)  Rrs[¦È_0,¦È,¦¤¦Õ](1375)  Rrs[¦È_0,¦È,¦¤¦Õ](1610)  Rrs[¦È_0,¦È,¦¤¦Õ](2250)  
  5.14912751E-02   7.98464579E-02   2.73383856E-02   2.03318697E-04   1.35166345E-04   4.08227474E-05   5.48190822E-02   8.28448482E-02   2.94250331E-02   1.53525307E-04   1.00603767E-04   2.98075194E-05 
  7.46200520E-03   2.62526807E-03   2.35071733E-04   2.05846242E-06   1.42178158E-06   4.69002121E-07   9.32771190E-03   3.30923770E-03   2.76222188E-04   2.35020912E-06   1.62312194E-06   5.34881231E-07 
  7.69133900E-03   1.26655680E-03   1.05339380E-04   9.01474800E-07   6.16987587E-07   2.00207368E-07   8.55897651E-03   1.33888002E-03   1.05918820E-04   8.98869671E-07   6.15384708E-07   1.99948718E-07 
  9.66916030E-03   1.73233276E-03   1.31422021E-04   1.03542719E-06   6.97034215E-07   2.18547909E-07   1.04162067E-02   1.73867131E-03   1.26859709E-04   1.02382113E-06   6.92235790E-07   2.18936708E-07 
  2.36041264E-02   6.61676531E-03   4.57629254E-04   3.58380291E-06   2.38852306E-06   7.30742326E-07   2.68838072E-02   7.78240133E-03   5.16139654E-04   3.94474255E-06   2.62642927E-06   8.01580809E-07 
  1.70381956E-02   3.14035839E-03   2.29781981E-04   1.83303741E-06   1.22663619E-06   3.78970215E-07   1.73233079E-02   3.14567979E-03   2.18694038E-04   1.70987727E-06   1.14394919E-06   3.54867112E-07 
  1.35232923E-02   2.69533457E-03   2.01521254E-04   1.62265919E-06   1.08800996E-06   3.37898408E-07   1.39021701E-02   2.73664782E-03   1.96055007E-04   1.55101128E-06   1.03948317E-06   3.23954158E-07 
  3.44135101E-03   4.62694050E-04   3.02112155E-05   2.16145458E-07   1.42465945E-07   4.30551737E-08   3.16676975E-03   3.98156894E-04   2.57637912E-05   1.86149137E-07   1.22922572E-07   3.72509417E-08 
  8.85152048E-03   1.65545859E-03   1.30471774E-04   1.04110731E-06   6.96018993E-07   2.14752518E-07   9.55082700E-03   1.64787933E-03   1.17072734E-04   9.24207489E-07   6.15994551E-07   1.90561395E-07 
  2.55698284E-02   1.19081782E-02   8.97216494E-04   6.92891531E-06   4.63274507E-06   1.42496566E-06   2.71200140E-02   1.27622717E-02   9.65539436E-04   7.23960907E-06   4.83395295E-06   1.48383709E-06 
  9.01201705E-03   1.34696021E-03   9.67393964E-05   7.62499599E-07   5.09426871E-07   1.56881608E-07   1.04121703E-02   1.56564496E-03   1.14401202E-04   9.16505213E-07   6.12419479E-07   1.84492066E-07 
  1.37341665E-02   3.32790969E-03   2.41256735E-04   1.92303707E-06   1.29262212E-06   4.03092218E-07   1.73811923E-02   4.34968114E-03   3.04417399E-04   2.41857060E-06   1.62492806E-06   5.04393606E-07 
  2.01132475E-02   1.14675323E-02   8.87729104E-04   6.80577131E-06   4.54958312E-06   1.40090642E-06   2.00949385E-02   1.14562273E-02   8.89261265E-04   6.84317412E-06   4.57481510E-06   1.40878084E-06 
  1.15144567E-02   3.62595038E-03   3.42258082E-04   2.91019090E-06   1.99630991E-06   6.49826431E-07   1.15164120E-02   3.61363602E-03   3.38363111E-04   2.88074122E-06   1.97600955E-06   6.43462778E-07 
  7.38716302E-03   1.11222878E-03   8.58061429E-05   7.11226087E-07   4.83355239E-07   1.54442358E-07   7.53533198E-03   1.11294284E-03   8.44309973E-05   6.96491443E-07   4.73151840E-07   1.51548724E-07 
  6.20743013E-03   9.93189709E-04   7.83342032E-05   6.60652895E-07   4.50915954E-07   1.45453103E-07   7.03659399E-03   1.10616079E-03   8.42215789E-05   7.02515422E-07   4.79523426E-07   1.54640950E-07 
