rho_a(555)  rho_a(659)  rho_a(865)  rho_a(1375)  rho_a(1610)  rho_a(2250)  
  1.73404969E-02   1.49765978E-02   9.64528350E-03   2.74500533E-03   1.53397432E-03   4.21746968E-04 
  4.07855299E-03   3.70277242E-03   2.79802486E-03   1.58467665E-03   1.27177391E-03   7.54691206E-04 
  1.15984271E-04   1.03990391E-04   8.38785081E-05   6.47334310E-05   5.26531685E-05   3.43090388E-05 
  1.88901641E-04   1.57007733E-04   1.14168303E-04   6.30255119E-05   4.99503972E-05   3.00243140E-05 
  2.58183990E-02   2.31089172E-02   1.78293108E-02   1.31105336E-02   1.23719415E-02   1.07718282E-02 
  2.41021380E-03   2.08856871E-03   1.66348224E-03   1.13040363E-03   9.12968219E-04   5.50172420E-04 
  5.08855675E-03   3.89921138E-03   2.38509437E-03   8.38552381E-04   5.32008381E-04   1.98302705E-04 
  1.67022343E-02   1.37191125E-02   9.21856105E-03   3.44447844E-03   2.09198003E-03   6.30936430E-04 
  4.76457068E-04   3.65653944E-04   2.36874568E-04   8.85247453E-05   5.48543174E-05   1.97830531E-05 
  4.02928124E-03   3.42475470E-03   2.27673329E-03   1.06382350E-03   8.57264115E-04   6.19505915E-04 
  1.52157410E-02   1.26018146E-02   8.68680464E-03   3.67160601E-03   2.48867165E-03   9.33598722E-04 
  1.18082303E-02   1.06517949E-02   7.37296413E-03   3.23345069E-03   2.44962911E-03   1.57435084E-03 
  1.93170714E-02   2.02653875E-02   1.96664883E-02   2.01003073E-02   2.03764725E-02   1.93922508E-02 
  7.94381351E-04   6.30355692E-04   4.21933316E-04   1.88935277E-04   1.42685783E-04   9.27137928E-05 
  1.31660983E-03   1.05638235E-03   7.55972297E-04   4.36777127E-04   3.35368744E-04   1.68766515E-04 
  1.25424858E-02   1.00287294E-02   5.94848991E-03   2.38612555E-03   1.93175559E-03   1.42678628E-03 
  4.91656469E-02   5.47068573E-02   5.64090550E-02   6.12973813E-02   6.28905944E-02   6.09500022E-02 
