rho_a(412)  rho_a(443)  rho_a(490)  rho_a(510)  rho_a(555)  rho_a(670)  rho_a(765)  rho_a(865)  
  4.72180059E-02   5.43064672E-02   6.04069537E-02   6.12910533E-02   6.12485051E-02   5.27703071E-02   4.25165578E-02   3.23781589E-02 
  3.79381451E-04   3.70135845E-04   3.41438221E-04   3.27128020E-04   2.93967604E-04   2.18742476E-04   1.71479037E-04   1.35388993E-04 
  2.48630680E-04   2.38849086E-04   2.19631526E-04   2.11001134E-04   1.91965718E-04   1.51431848E-04   1.25130683E-04   1.04948667E-04 
  1.29941482E-03   1.35903465E-03   1.31307274E-03   1.26669586E-03   1.14300231E-03   8.35408404E-04   6.40484434E-04   5.02817451E-04 
  6.34685469E-03   6.29577170E-03   6.09896029E-03   5.94393261E-03   5.66699297E-03   4.89068585E-03   4.34439685E-03   3.90893289E-03 
  1.30672444E-03   1.25564509E-03   1.13743531E-03   1.08486675E-03   9.67591007E-04   7.39252948E-04   6.08398531E-04   5.24540002E-04 
  8.50148203E-03   9.01434219E-03   9.21604836E-03   9.13705353E-03   8.82060334E-03   7.59188855E-03   6.52988174E-03   5.60073036E-03 
  2.46499535E-03   2.38588789E-03   2.25223294E-03   2.18368238E-03   2.06454392E-03   1.81151877E-03   1.64269714E-03   1.51452421E-03 
  6.20753310E-03   6.93104850E-03   7.28056825E-03   7.19805940E-03   6.84583658E-03   5.56120192E-03   4.58131580E-03   3.86397537E-03 
  3.12887160E-02   3.17492274E-02   3.08670082E-02   3.01703337E-02   2.83081861E-02   2.29158497E-02   1.86752284E-02   1.49731377E-02 
  8.87309390E-03   8.63793685E-03   8.03553849E-03   7.73143046E-03   7.05170186E-03   5.51735706E-03   4.48900098E-03   3.69481548E-03 
  3.22211349E-04   3.07546907E-04   2.78200663E-04   2.65225770E-04   2.37753720E-04   1.81559926E-04   1.46104940E-04   1.20096610E-04 
  4.46332392E-04   4.63069672E-04   4.50490642E-04   4.35454386E-04   3.94852515E-04   2.85664911E-04   2.10302488E-04   1.53821847E-04 
  5.77460170E-04   6.27469898E-04   6.49135928E-04   6.42551721E-04   6.16663063E-04   5.11542088E-04   4.26932761E-04   3.57822323E-04 
  3.94338412E-02   4.06684319E-02   4.06463876E-02   4.01821918E-02   3.86484403E-02   3.35682787E-02   2.93027658E-02   2.52178693E-02 
  1.34463303E-02   1.31776861E-02   1.25485780E-02   1.21794683E-02   1.14100924E-02   9.57056439E-03   8.18566685E-03   6.97422711E-03 
  3.13864616E-03   3.11358141E-03   2.96056591E-03   2.87184056E-03   2.65522129E-03   2.14399348E-03   1.82047216E-03   1.57776215E-03 
  1.98150578E-03   2.18346488E-03   2.23261879E-03   2.18542807E-03   2.02275776E-03   1.54394333E-03   1.22606374E-03   1.00127975E-03 
  5.32346655E-03   6.07317367E-03   6.63882110E-03   6.69282212E-03   6.63514006E-03   5.86721908E-03   5.09932430E-03   4.41262446E-03 
  5.85635612E-04   6.12824413E-04   6.10061311E-04   5.96722751E-04   5.56499241E-04   4.33920312E-04   3.40413417E-04   2.66331342E-04 
  2.68745982E-04   2.70605771E-04   2.53097863E-04   2.42578615E-04   2.16690609E-04   1.61788742E-04   1.31346502E-04   1.12730208E-04 
  4.77648664E-04   4.79210695E-04   4.65534420E-04   4.53945779E-04   4.30695570E-04   3.69620454E-04   3.30421618E-04   3.03524533E-04 
  3.14182148E-04   3.17788436E-04   3.03761508E-04   2.93600055E-04   2.67624046E-04   2.02165071E-04   1.57229130E-04   1.23283304E-04 
  2.87148938E-03   2.83079739E-03   2.67644883E-03   2.59529677E-03   2.39186158E-03   1.91430446E-03   1.60242398E-03   1.35714912E-03 
  2.89478515E-04   3.17614710E-04   3.40602655E-04   3.44627989E-04   3.51219632E-04   3.53535657E-04   3.55448605E-04   3.58153868E-04 
  1.87558494E-02   1.81452035E-02   1.68137088E-02   1.61874645E-02   1.48051526E-02   1.16979402E-02   9.54466649E-03   7.77731143E-03 
  1.71468854E-03   1.74184073E-03   1.68890025E-03   1.64124681E-03   1.51816736E-03   1.18724927E-03   9.51284357E-04   7.67763568E-04 
  1.39749365E-02   1.42844089E-02   1.43395690E-02   1.42534161E-02   1.39978603E-02   1.32223943E-02   1.27445923E-02   1.23041120E-02 
