R_toa(412)  R_toa(443)  R_toa(490)  R_toa(510)  R_toa(555)  R_toa(670)  R_toa(765)  R_toa(865)  
  4.88679825E-02   4.03321776E-02   2.96016833E-02   2.58259349E-02   1.84397241E-02   9.41621487E-03   4.17068263E-03   4.49570803E-03 
  4.65482955E-02   3.66021769E-02   2.66447421E-02   2.38082113E-02   1.86571929E-02   8.62963741E-03   4.35173431E-03   3.92975210E-03 
  3.46996343E-02   2.96825421E-02   2.46237256E-02   2.29545558E-02   1.89798154E-02   1.04516169E-02   5.41458642E-03   5.23789251E-03 
  4.21647596E-02   3.59119166E-02   3.30715302E-02   3.29167346E-02   3.68910457E-02   1.49120784E-02   4.23872414E-03   3.41978215E-03 
  3.70373284E-02   3.18325897E-02   2.94925185E-02   2.97710975E-02   3.28359041E-02   1.66443992E-02   4.73024087E-03   4.10660821E-03 
  4.16834801E-02   3.29107641E-02   2.46219785E-02   2.23254971E-02   1.74883508E-02   7.19326831E-03   3.40339259E-03   2.93100306E-03 
  3.86257732E-02   3.21185627E-02   2.67943892E-02   2.56460178E-02   2.35320417E-02   1.10256144E-02   5.55964643E-03   5.49782756E-03 
  3.45315090E-02   2.79485877E-02   2.08949816E-02   1.83144096E-02   1.27347171E-02   5.25626645E-03   2.40516685E-03   2.12446246E-03 
  5.48091585E-02   4.67710148E-02   3.73065876E-02   3.40224526E-02   2.78288948E-02   1.71939790E-02   9.23874208E-03   1.04467885E-02 
  5.58891332E-02   4.67844472E-02   3.92030807E-02   3.68173272E-02   3.45526644E-02   1.44063497E-02   6.06829610E-03   5.88427920E-03 
  6.26759336E-02   5.48201472E-02   4.80914566E-02   4.56652084E-02   4.22742021E-02   2.83689329E-02   2.00357368E-02   2.18527834E-02 
  3.96151004E-02   3.16423981E-02   2.49309890E-02   2.32531105E-02   2.33779661E-02   9.48777663E-03   3.12729224E-03   2.77479203E-03 
  5.88775651E-02   4.97320001E-02   3.90425431E-02   3.51915661E-02   2.77345581E-02   1.81219714E-02   1.13597103E-02   1.06493002E-02 
  4.08285148E-02   3.43093711E-02   2.70638426E-02   2.45762771E-02   1.96991039E-02   1.39206821E-02   9.26680356E-03   1.02928064E-02 
  5.25987590E-02   4.89169577E-02   4.34545487E-02   4.07495000E-02   3.44639547E-02   2.63050575E-02   1.46652126E-02   1.56728905E-02 
  3.54840820E-02   2.89032022E-02   2.18752821E-02   1.91246330E-02   1.30883523E-02   4.99590191E-03   2.30166387E-03   1.95494690E-03 
  4.17248363E-02   3.23352419E-02   2.28369299E-02   2.00457016E-02   1.45296914E-02   6.41838427E-03   3.12297083E-03   2.65210064E-03 
  5.08201333E-02   4.11001023E-02   2.91837995E-02   2.49548000E-02   1.69954539E-02   8.26033768E-03   3.77521014E-03   3.64880005E-03 
  4.35113828E-02   3.53959355E-02   2.77442391E-02   2.55163847E-02   2.17819167E-02   1.08936242E-02   6.17257306E-03   5.99345149E-03 
  3.45441939E-02   2.74157696E-02   1.97262564E-02   1.72573373E-02   1.22853251E-02   5.66918509E-03   2.74610476E-03   2.47751388E-03 
  7.83945333E-02   6.63957585E-02   5.31353126E-02   4.86127112E-02   3.89698308E-02   1.99031735E-02   9.41019453E-03   1.01310055E-02 
  3.62693052E-02   2.87717940E-02   2.21125311E-02   2.05505244E-02   2.19964352E-02   1.44123447E-02   4.98570390E-03   4.32061532E-03 
  4.48916542E-02   3.69783592E-02   2.70621423E-02   2.36219280E-02   1.71585413E-02   9.28487130E-03   4.22011106E-03   4.61905296E-03 
  7.92717298E-02   6.91665148E-02   5.62966946E-02   5.12695237E-02   4.11604381E-02   2.86589016E-02   1.73450493E-02   1.75213465E-02 
  5.64336895E-02   4.62626770E-02   3.64058991E-02   3.36262862E-02   2.78615329E-02   1.36314836E-02   6.88518582E-03   6.62403777E-03 
  5.07983166E-02   4.00763981E-02   2.85818765E-02   2.48631980E-02   1.74505890E-02   7.82498400E-03   3.82654135E-03   3.29452712E-03 
  3.47759002E-02   2.67596414E-02   1.84963916E-02   1.61055693E-02   1.16750737E-02   5.25862967E-03   2.40764385E-03   2.15019098E-03 
  4.25782967E-02   3.36625139E-02   2.40246184E-02   2.09702484E-02   1.49228756E-02   6.76164410E-03   3.06243013E-03   2.87956914E-03 
  9.28568249E-02   8.19059889E-02   6.82751240E-02   6.30371723E-02   5.20314597E-02   3.84760024E-02   2.42611245E-02   2.67366629E-02 
  4.83197002E-02   4.04055795E-02   3.22140579E-02   2.94115914E-02   2.32184539E-02   1.37439682E-02   8.40175374E-03   8.24595055E-03 
  3.97242481E-02   3.15845874E-02   2.29496208E-02   2.01437172E-02   1.45708708E-02   7.37590920E-03   4.04392357E-03   3.67542077E-03 
  7.28763884E-02   6.07757506E-02   4.49117966E-02   3.91661291E-02   2.77995433E-02   1.43014005E-02   6.46595036E-03   6.55105597E-03 
  5.31817008E-02   4.38115945E-02   3.39484196E-02   3.07382707E-02   2.40660896E-02   1.22597508E-02   6.14696527E-03   6.46614530E-03 
  5.36075586E-02   4.39506614E-02   3.61316367E-02   3.47215225E-02   3.36191458E-02   1.51179872E-02   4.53259712E-03   4.07856228E-03 
  4.54179150E-02   3.73803145E-02   3.05816386E-02   2.91651373E-02   3.01387364E-02   2.09589641E-02   5.41216752E-03   4.63901563E-03 
  2.66781278E-02   2.14762535E-02   1.72189691E-02   1.61298720E-02   1.67595847E-02   6.88587951E-03   2.30230465E-03   2.02276490E-03 
  4.78135830E-02   3.78051853E-02   2.67725560E-02   2.29436681E-02   1.55025050E-02   6.75449584E-03   3.13031627E-03   2.81087016E-03 
  4.01605237E-02   3.34003615E-02   2.87052752E-02   2.78895148E-02   2.60180174E-02   9.95681956E-03   3.85738825E-03   3.49739209E-03 
  3.39611060E-02   2.60453756E-02   1.82035909E-02   1.60143566E-02   1.20034063E-02   5.24038636E-03   2.45038322E-03   2.23117784E-03 
  5.35175334E-02   4.64509031E-02   4.05148595E-02   3.89478198E-02   3.46205461E-02   1.77756095E-02   9.07702039E-03   8.67741559E-03 
  2.66440092E-02   2.10733199E-02   1.48357783E-02   1.27443765E-02   8.79424336E-03   4.23757691E-03   2.05906650E-03   1.91718045E-03 
  5.26384479E-02   4.50086291E-02   3.74618420E-02   3.48984684E-02   2.87552261E-02   1.86725698E-02   1.29111192E-02   1.42526499E-02 
